Sample_ID,Study Accession,Sample Accession,Experiment Accession,Description,Center Name,Study,Sample,Plant_part
ERR4099794,PRJEB38192,SAMEA6816290,ERX4092861,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_20d_1,Fruit
ERR4099795,PRJEB38192,SAMEA6816291,ERX4092862,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_20d_2,Fruit
ERR4099796,PRJEB38192,SAMEA6816292,ERX4092863,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_20d_3,Fruit
ERR4099797,PRJEB38192,SAMEA6816293,ERX4092864,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_40d_1,Fruit
ERR4099798 ,PRJEB38192,SAMEA6816294,ERX4092865,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_40d_2,Fruit
ERR4099799,PRJEB38192,SAMEA6816295,ERX4092866,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,fruit_40d_3,Fruit
ERR4099800,PRJEB38192,SAMEA6816296,ERX4092867,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf_1,Leaf
ERR4099801,PRJEB38192,SAMEA6816297,ERX4092868,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf_2,Leaf
ERR4099802,PRJEB38192,SAMEA6816298,ERX4092869,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf_3,Leaf
ERR4099803,PRJEB38192,SAMEA6816299,ERX4092870,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,panicle_1,Flower
ERR4099804,PRJEB38192,SAMEA6816300,ERX4092871,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,panicle_2,Flower
ERR4099805,PRJEB38192,SAMEA6816301,ERX4092872,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,panicle_3,Flower
SRR1776865,PRJNA273688,SAMN03295195,SRX853366,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR1777719,PRJNA273782,SAMN03295803,SRX856639,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,root,Root
SRR1781514,PRJNA273782,SAMN03295195,SRX856632,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3406929,PRJNA314826,SAMN04544345,SRX1716592,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3404020,PRJNA318916,SAMN04870161,SRX1714729,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3404021,PRJNA318916,SAMN04870160,SRX1714730,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3404389,PRJNA318916,SAMN04870153,SRX1715099,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3404390,PRJNA318916,SAMN04870152,SRX1715100,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR3404569,PRJNA318916,SAMN04870151,SRX1715105,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8446741,PRJNA515366,SAMN10754252,SRX5253784,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8446742,PRJNA515366,SAMN10754251,SRX5253783,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8816469,PRJNA529760,SAMN11284883,SRX5604948,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,stem,Stem
SRR8816470,PRJNA529760,SAMN11284884,SRX5604947,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,stem,Stem
SRR8816471,PRJNA529760,SAMN11284885,SRX5604946,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,2MAP,Fruit
SRR8816472,PRJNA529760,SAMN11284886,SRX5604945,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,2MAP,Fruit
SRR8816473,PRJNA529760,SAMN11284887,SRX5604944,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,2MAP,Fruit
SRR8816474,PRJNA529760,SAMN11284888,SRX5604943,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,4MAP,Fruit
SRR8816475,PRJNA529760,SAMN11284889,SRX5604942,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,4MAP,Fruit
SRR8816476,PRJNA529760,SAMN11284890,SRX5604941,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,4MAP,Fruit
SRR8816477,PRJNA529760,SAMN11284891,SRX5604940,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,6MAP,Fruit
SRR8816478,PRJNA529760,SAMN11284892,SRX5604939,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,6MAP,Fruit
SRR8816480,PRJNA529760,SAMN11284894,SRX5604937,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,8MAP,Fruit
